Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Lawrence Moten,1996,1998,G,6-5,185.0,"March 25, 1972",Syracuse,https://www.basketball-reference.com/players/m/motenla01.html
Donatas Motiejūnas,2013,2019,F-C,7-0,222.0,"September 20, 1990",,https://www.basketball-reference.com/players/m/motiedo01.html
Johnathan Motley,2018,2020,F,6-8,230.0,"May 4, 1995",Baylor,https://www.basketball-reference.com/players/m/motlejo01.html
Hanno Möttölä,2001,2002,F-C,6-11,247.0,"September 9, 1976",Utah,https://www.basketball-reference.com/players/m/mottoha01.html
Arnett Moultrie,2013,2014,F,6-11,249.0,"November 18, 1990","Texas-El Paso, Mississippi State",https://www.basketball-reference.com/players/m/moultar01.html
Rick Mount,1971,1975,G,6-3,175.0,"January 5, 1947",Purdue,https://www.basketball-reference.com/players/m/mountri01.html
Alonzo Mourning*,1993,2008,C-F,6-10,240.0,"February 8, 1970",Georgetown,https://www.basketball-reference.com/players/m/mournal01.html
Timofey Mozgov,2011,2018,C,7-1,275.0,"July 16, 1986",,https://www.basketball-reference.com/players/m/mozgoti01.html
Chuck Mrazovich,1951,1951,F,6-5,185.0,"February 26, 1924",Eastern Kentucky University,https://www.basketball-reference.com/players/m/mrazoch01.html
Emmanuel Mudiay,2016,2022,G,6-3,200.0,"March 5, 1996",,https://www.basketball-reference.com/players/m/mudiaem01.html
Erwin Mueller,1967,1974,C-F,6-8,230.0,"March 12, 1944",San Francisco,https://www.basketball-reference.com/players/m/mueller01.html
Shabazz Muhammad,2014,2018,F-G,6-6,223.0,"November 13, 1992",UCLA,https://www.basketball-reference.com/players/m/muhamsh01.html
Mychal Mulder,2020,2022,G-F,6-3,184.0,"June 12, 1994","Vincennes University, Kentucky",https://www.basketball-reference.com/players/m/muldemy01.html
Joe Mullaney,1950,1950,G,6-0,165.0,"November 17, 1924",Holy Cross,https://www.basketball-reference.com/players/m/mullajo01.html
Bob Mullens,1947,1947,G,6-1,175.0,"November 1, 1922",Fordham,https://www.basketball-reference.com/players/m/mullebo01.html
Byron Mullens,2010,2014,C-F,7-0,275.0,"February 14, 1989",Ohio State,https://www.basketball-reference.com/players/m/mulleby01.html
Chris Mullin*,1986,2001,F-G,6-6,200.0,"July 30, 1963",St. John's,https://www.basketball-reference.com/players/m/mullich01.html
Jeff Mullins,1965,1976,G-F,6-4,190.0,"March 18, 1942",Duke,https://www.basketball-reference.com/players/m/mullije01.html
Todd Mundt,1996,1996,C,7-0,250.0,"May 17, 1970","Memphis, Delta State University",https://www.basketball-reference.com/players/m/mundtto01.html
Xavier Munford,2016,2018,G,6-2,180.0,"June 1, 1992",Rhode Island,https://www.basketball-reference.com/players/m/munfoxa02.html
Chris Munk,1991,1991,F,6-9,225.0,"August 5, 1967",USC,https://www.basketball-reference.com/players/m/munkch01.html
George Munroe,1947,1948,G,5-11,170.0,"January 5, 1922",Dartmouth College,https://www.basketball-reference.com/players/m/munroge01.html
Eric Murdock,1992,2000,G,6-1,190.0,"June 14, 1968",Providence,https://www.basketball-reference.com/players/m/murdoer01.html
Gheorghe Mureșan,1994,2000,C,7-7,303.0,"February 14, 1971",,https://www.basketball-reference.com/players/m/muresgh01.html
Ade Murkey,2022,2022,G,6-5,200.0,"January 29, 1998",Denver,https://www.basketball-reference.com/players/m/murkead01.html
Allen Murphy,1976,1977,G,6-5,190.0,"July 15, 1952",Louisville,https://www.basketball-reference.com/players/m/murphal01.html
Calvin Murphy*,1971,1983,G,5-9,165.0,"May 9, 1948",Niagara University,https://www.basketball-reference.com/players/m/murphca01.html
Dick Murphy,1947,1947,G,6-1,175.0,"March 10, 1921",Manhattan College,https://www.basketball-reference.com/players/m/murphdi01.html
Erik Murphy,2014,2014,F,6-10,230.0,"October 26, 1990",Florida,https://www.basketball-reference.com/players/m/murpher01.html
Jay Murphy,1985,1988,F,6-9,220.0,"June 26, 1962",Boston College,https://www.basketball-reference.com/players/m/murphja01.html
John Murphy,1947,1947,F,6-2,175.0,"September 13, 1924",,https://www.basketball-reference.com/players/m/murphjo01.html
Kevin Murphy,2013,2013,G,6-5,185.0,"March 6, 1990",Tennessee Technological University,https://www.basketball-reference.com/players/m/murphke01.html
Ronnie Murphy,1988,1988,F,6-5,225.0,"July 29, 1964",Jacksonville University,https://www.basketball-reference.com/players/m/murphro01.html
Tod Murphy,1988,1994,C-F,6-9,220.0,"December 24, 1963","University of California, Irvine",https://www.basketball-reference.com/players/m/murphto01.html
Trey Murphy III,2022,2023,F,6-9,206.0,"June 18, 2000","Rice University, Virginia",https://www.basketball-reference.com/players/m/murphtr02.html
Troy Murphy,2002,2013,F-C,6-11,245.0,"May 2, 1980",Notre Dame,https://www.basketball-reference.com/players/m/murphtr01.html
Dejounte Murray,2017,2023,G,6-4,180.0,"September 19, 1996",Washington,https://www.basketball-reference.com/players/m/murrade01.html
Jamal Murray,2017,2023,G,6-3,215.0,"February 23, 1997",Kentucky,https://www.basketball-reference.com/players/m/murraja01.html
Keegan Murray,2023,2023,F,6-8,215.0,"August 19, 2000",Iowa,https://www.basketball-reference.com/players/m/murrake02.html
Ken Murray,1951,1955,G-F,6-2,190.0,"April 20, 1928",St. Bonaventure,https://www.basketball-reference.com/players/m/murrake01.html
Lamond Murray,1995,2006,F,6-7,236.0,"April 20, 1973",California,https://www.basketball-reference.com/players/m/murrala01.html
Ronald Murray,2003,2010,G,6-4,190.0,"July 29, 1979","Meridian Community College, Shaw",https://www.basketball-reference.com/players/m/murraro01.html
Tracy Murray,1993,2004,F,6-7,225.0,"July 25, 1971",UCLA,https://www.basketball-reference.com/players/m/murratr01.html
Willie Murrell,1968,1970,F,6-6,225.0,"September 13, 1941","Eastern Oklahoma State College, Kansas State",https://www.basketball-reference.com/players/m/murrewi01.html
Dorie Murrey,1967,1972,F-C,6-8,215.0,"September 7, 1943",Detroit Mercy,https://www.basketball-reference.com/players/m/murredo01.html
Toure' Murry,2014,2015,G-F,6-5,195.0,"November 8, 1989",Wichita State,https://www.basketball-reference.com/players/m/murryto01.html
Džanan Musa,2019,2020,G-F,6-9,217.0,"May 8, 1999",,https://www.basketball-reference.com/players/m/musadz01.html
Mike Muscala,2014,2023,F-C,6-10,240.0,"July 1, 1991",Bucknell,https://www.basketball-reference.com/players/m/muscami01.html
Angelo Musi,1947,1949,G,5-9,145.0,"July 25, 1918",Temple,https://www.basketball-reference.com/players/m/musian01.html
Jerrod Mustaf,1991,1994,F-C,6-10,238.0,"October 28, 1969",Maryland,https://www.basketball-reference.com/players/m/mustaje01.html
Dikembe Mutombo*,1992,2009,C,7-2,245.0,"June 25, 1966",Georgetown,https://www.basketball-reference.com/players/m/mutomdi01.html
Martin Müürsepp,1997,1998,F,6-9,235.0,"September 26, 1974",,https://www.basketball-reference.com/players/m/muursma01.html
Pete Myers,1987,1998,G-F,6-6,180.0,"September 15, 1963",Little Rock,https://www.basketball-reference.com/players/m/myerspe01.html
Svi Mykhailiuk,2019,2023,G-F,6-7,205.0,"June 10, 1997",Kansas,https://www.basketball-reference.com/players/m/mykhasv01.html
